"","Females_AD1_Mean","Females_control1_Mean","males_AD1_Mean","males_control1_Mean","FC_fem_ctrl_AD","FC_male_ctrl_AD"
"ACP1",8.43659143495947,8.99465760254126,8.57993572259404,8.91241508838265,0.93795581863793,0.96269480690795
"ACP2",7.78766830473288,7.8938075884695,7.76617965431391,7.93172756257123,0.986554108071794,0.979128392024138
"ACP5",6.4897852242562,6.48555538698876,6.4757278740884,6.47152131055744,1.00065219353086,1.00065001153965
"ACP6",7.14409196961836,7.04712321611792,7.10898502220864,7.02438669368074,1.01376004796946,1.01204351813433
"ACPL2",7.55938911787033,7.95914851844768,7.61607849278399,7.90308990856786,0.949773597056169,0.963683645371069
"ACPP",6.48562986790649,6.50282822915657,6.50316888194924,6.50709691067495,0.997355249032573,0.999396346976288
"ACPT",7.08496583616091,7.33175461500908,6.93469654584805,7.19704741128078,0.966339738329081,0.963547431267228
"ACR",6.58767594164242,6.65215047446743,6.56200972980977,6.63432385967847,0.990307715817241,0.989100000030417
"ACRBP",6.49979313532268,6.50751150595379,6.52671530638858,6.50435816554452,0.998813929007417,1.00343725549471
"ACRC",7.4138735907314,7.37161032358489,7.43473091125751,7.27795525331939,1.00573324759331,1.02154116815525
"ACRV1",6.88197606409599,7.0904756606793,6.88612961851053,7.10979218886737,0.970594413328353,0.96854161634892
"ACSBG1",10.5543795309985,10.1294114415995,10.2031093902503,9.85510670225194,1.04195387775974,1.03531191477804
"ACSBG2",6.60528892496881,6.54823931551504,6.58455483576041,6.56765340889288,1.00871220593887,1.00257343465242
"ACSF2",7.65496596929637,7.22892788198725,7.44867270614283,7.23017997931552,1.05893516912386,1.0302195418997
"ACSF3",6.52526284009984,6.52447117173012,6.53162589152145,6.55812337179063,1.00012133831982,0.995959594114506
"ACSL1",8.88432764447633,8.56990402289409,9.11826133255186,8.58675821251953,1.03668928155348,1.06189799536423
"ACSL3",8.66414883014887,9.11499786849376,8.80325549897065,9.06375787355256,0.950537669361036,0.971258899651099
"ACSL4",7.79052717951757,8.22337113941869,7.94426931526146,8.23317211914474,0.947364170659125,0.964909903533842
"ACSL5",6.65113514065424,6.6395644127935,6.63301151820969,6.6127064882283,1.00174269381866,1.00307060808121
"ACSL6",6.67326130149404,6.80217740009706,6.67433231116607,6.80574182813047,0.98104781880561,0.980691374976753
"ACSM1",6.45416917999804,6.4478949869072,6.46278294340857,6.42721831621606,1.0009730606816,1.00553344004245
"ACSM2A",6.45466240070831,6.42757803537849,6.4364512197294,6.45091821680005,1.0042137746412,0.997757373976162
"ACSM2B",6.47471752736111,6.47580662946297,6.47661806123943,6.48190198612547,0.999831819854394,0.999184818761939
"ACSM3",6.5051914731397,6.50298596067488,6.49510176224051,6.50308659811815,1.00033915380998,0.99877214677105
"ACSM4",6.49352194925136,6.47848123371555,6.49914088927199,6.49962080916002,1.00232164221724,0.999926161863573
"ACSM5",6.77619149175039,6.74323485858024,6.78792958786318,6.71846177533489,1.00488736249906,1.0103398389172
"ACSS1",9.58683394373996,8.84095214729666,9.33949644508163,8.91349232603351,1.08436668178001,1.04779317729414
"ACSS2",9.12890328073904,8.72172526131935,9.04541488247643,8.80011755307542,1.04668549022354,1.02787432416915
"ACSS3",7.43071808685427,7.13681796087338,7.32433739946722,7.11517514950054,1.04118083543565,1.0293966410625
"ACTA1",6.95654738842838,7.14195258713324,6.95033550703814,7.13057624347297,0.974039984662055,0.974722837218126
"ACTA2",10.0484500679503,9.66906944060245,9.97263461849202,9.53217232237292,1.03923651905474,1.04620796616164
"ACTB",11.6753367059094,12.2781687415156,11.8915261324055,12.2911048364513,0.950902121619496,0.967490416088487
"ACTBL2",6.58957258615659,6.52951543819016,6.53641679325952,6.53623424669572,1.00919779553857,1.00002792839989
"ACTC1",6.56712692910711,6.61874856083663,6.58482321444925,6.59684416630744,0.992200696059832,0.998177772347635
"ACTG1",12.6711253618984,12.951699876509,12.7037521358709,12.9610431085929,0.978336857919359,0.980148899238564
"ACTG2",7.1651877766238,6.93372254018646,7.08118181390075,6.81335471415617,1.03338253515277,1.03930913785952
"ACTL6A",7.8346672698715,7.48701700843256,7.86201145018054,7.59921525392759,1.04643374805311,1.03458201767836
"ACTL6B",8.01744866655777,8.42452293601929,8.10302915662204,8.41922910350652,0.951679843172952,0.962443123592777
"ACTL7A",6.42092872885712,6.43988308848636,6.44364947468952,6.44009300546178,0.997056723022949,1.00055223879915
"ACTL7B",6.44508448879499,6.44994055991904,6.45321957048753,6.46464118067125,0.999247113817727,0.998233218230601
"ACTL8",6.59344990800814,6.57567583394481,6.59899519364489,6.56627555408426,1.00270300338888,1.00498298301543
"ACTN1",10.7728524170797,10.4259990451765,10.545947482982,10.4101302790193,1.03326811851797,1.01304663825739
"ACTN2",6.92725503477582,7.40462836341737,7.06424547945357,7.38540662876677,0.935530413518115,0.956514087110349
"ACTN3",6.59995135605694,6.59535800713223,6.59794914139474,6.55591606077639,1.0006964517953,1.00641147327523
"ACTN4",8.63548596038732,8.45718479722113,8.58241051179994,8.38756406496587,1.02108280325443,1.02323039744613
"ACTR10",8.68173456393957,9.36538369431591,8.88581749891797,9.36869994227315,0.927002549741634,0.948457902768735
"ACTR1A",10.6258904680413,10.6146974181973,10.5555570439362,10.6205455103955,1.0010544860021,0.993880873030886
"ACTR2",10.1975077602081,10.4864692698217,10.2468275151975,10.4924714552084,0.972444346883737,0.976588552939162
"ACTR3",8.6777022576531,8.75441596674194,8.83683789964248,8.88959466909339,0.991237141417511,0.994065334650821
"ACTR3B",6.61712991094843,6.80011076494413,6.67082540525042,6.79893561437682,0.973091489194705,0.981157313969041
"ACTR5",7.20853838247933,7.2156711365819,7.24358976958303,7.25444325436305,0.999011491243495,0.998503884529871
"ACTR6",8.94097667641152,9.3749690272798,9.08348150801619,9.39786992538998,0.953707329634324,0.966546843075109
"ACTRT1",8.11810485568152,8.50080764706641,7.87083168250949,8.27800139335926,0.954980419829055,0.950813041517919
